,data_type,K,model,nmi,ari,coserr_E,coserrA_E
0,VMF,5,VMF,0.11923679206997884,0.10201828105643869,0.43290246642103136,1.1140391095602995
0,VMF,5,true,0.11589770295709137,0.09840169009377546,0.4325240322639589,1.112988316463014
0,VMF,5,GMM,0.6774656434971587,0.9316368342015483,0.646453392288221,1.6213940427576832
0,VMF,5,GME,0.10602709248759497,0.08667775780167242,0.7017473860723786,1.7673688722159713
0,VMF,5,VMF,0.10165032006352681,0.08231827394455536,0.4287823456413501,1.0837466949209797
0,VMF,5,true,0.10129583981488455,0.08195806919994685,0.4284638913335856,1.0832784428615279
0,VMF,5,GMM,0.6148694192899862,0.7956682046447602,0.6905779385453782,1.7359775299148437
0,VMF,5,GME,0.08738622903625222,0.06693837952487111,0.7086132451409302,1.7845346764271715
0,VMF,5,VMF,0.08262159380785927,0.06256671204467873,0.42560449622127544,1.0622241368699066
0,VMF,5,true,0.08612872952195547,0.06533331318739835,0.4252308032277962,1.061341040053501
0,VMF,5,GMM,0.6673317741074624,0.8460046494534763,0.6691740881352214,1.6411702969976272
0,VMF,5,GME,0.1090674734061352,0.08842141001566779,0.6918218712394805,1.6947423561813877
0,VMF,5,VMF,0.10159504416333749,0.08255231751279792,0.43323572289365103,1.0554631532311993
0,VMF,5,true,0.10863158442069745,0.08832583246624912,0.4327838880034884,1.0548350307085588
0,VMF,5,GMM,0.6885154589273558,0.9415554369519905,0.6360353823700647,1.5759600462791021
0,VMF,5,GME,0.11266292058316267,0.09164493407428508,0.6927010050368188,1.719463876972329
0,VMF,5,VMF,0.11112017994437777,0.09053255001097266,0.4305757261756857,1.066661822055737
0,VMF,5,true,0.11049095488727353,0.09085411360082399,0.43038704342460576,1.0662262346841938
0,VMF,5,GMM,0.6762398123746192,0.8681259817257825,0.6669017423598129,1.667219801690077
0,VMF,5,GME,0.09529701744904254,0.07528310131589001,0.6935136020201251,1.7400910296780203
0,VMF,5,VMF,0.09907411285750718,0.07778051079256867,0.43273749180893867,1.0799553227852565
0,VMF,5,true,0.09573453103328536,0.074902672126988,0.43238786741224666,1.0797787576103566
0,VMF,5,GMM,0.68683331019659,0.830529739478828,0.6666838869088797,1.6301815835270377
0,VMF,5,GME,0.11965153235572364,0.09759469354173216,0.6888113592284251,1.695502397878664
0,VMF,5,VMF,0.12251976745314833,0.09908210571692348,0.4333941553676671,1.0681593095189614
0,VMF,5,true,0.12165929380975227,0.09862717451744336,0.43305647902371514,1.06801950985817
0,VMF,5,GMM,0.678144782416253,0.9334913870349061,0.6355326314850284,1.5873631117797
0,VMF,5,GME,0.11304168850280205,0.09535968621109003,0.6920789362667612,1.7238882567813483
0,VMF,5,VMF,0.10925179732449601,0.09220992342493074,0.429255138536146,1.0748170971939748
0,VMF,5,true,0.10801304959277302,0.08992763144645069,0.42878026962444155,1.073012249597003
0,VMF,5,GMM,0.6187558350669675,0.8071398932716336,0.672593935770398,1.7004427004452787
0,VMF,5,GME,0.12484279770676321,0.10609286002062439,0.706737363357321,1.784999274992279
0,VMF,5,VMF,0.12082273780700974,0.10266492840058809,0.43085514248348444,1.083830155162008
0,VMF,5,true,0.120626667208892,0.10100113437745377,0.4302587510874582,1.0823715961127065
