,model,type,uerr,cos_err,Ecos_err
149,idenp,compl,0.1237739846110344,0.6520583629608154,0.695134699344635
150,cRBM_Wc,compl,0.05510925129055977,0.6070129871368408,0.6112013459205627
151,true,compl,0.03372620418667793,0.5905905365943909,0.5942790508270264
152,Utrue,compl,0.0,0.5577195882797241,0.5577195882797241
153,data,test,0.17938804626464844,0.693588376045227,0.743331253528595
154,idenp,test,0.06716225296258926,0.6053044199943542,0.6244782209396362
155,cRBM_Wc,test,0.030861949548125267,0.5813801884651184,0.5835167169570923
156,true,test,0.015364333987236023,0.5687986612319946,0.5712866187095642
157,Utrue,test,0.0,0.5549293160438538,0.5549293160438538
158,idenp,compl,0.12666724622249603,0.6552914977073669,0.7029768824577332
159,cRBM_Wc,compl,0.05182453244924545,0.6010255217552185,0.6065033078193665
160,true,compl,0.032624825835227966,0.5879770517349243,0.5920578241348267
161,Utrue,compl,0.0,0.5549293160438538,0.5549293160438538
162,data,test,0.1782013326883316,0.6933351755142212,0.7449284791946411
163,idenp,test,0.06460783630609512,0.6021329760551453,0.6211239695549011
164,cRBM_Wc,test,0.031131289899349213,0.5822522044181824,0.5842483639717102
165,true,test,0.016859175637364388,0.5709974765777588,0.5735740661621094
166,Utrue,test,0.0,0.5575419664382935,0.5575419664382935
167,idenp,compl,0.11954231560230255,0.6506433486938477,0.6917806267738342
168,cRBM_Wc,compl,0.049422487616539,0.6011279821395874,0.6053169965744019
169,true,compl,0.03465643152594566,0.5915384888648987,0.594817578792572
170,Utrue,compl,0.0,0.5575419664382935,0.5575419664382935
171,data,test,0.17964032292366028,0.6947982907295227,0.7455833554267883
172,idenp,test,0.06484083831310272,0.6059635281562805,0.6238101720809937
173,cRBM_Wc,test,0.03243326023221016,0.5840011835098267,0.5861335396766663
174,true,test,0.015767958015203476,0.5704625844955444,0.5729592442512512
175,Utrue,test,0.0,0.5567545294761658,0.5567545294761658
176,idenp,compl,0.1200605258345604,0.6513470411300659,0.6946835517883301
177,cRBM_Wc,compl,0.05274498090147972,0.603917121887207,0.6089069843292236
178,true,compl,0.03516726568341255,0.5918420553207397,0.5953601598739624
179,Utrue,compl,0.0,0.5567545294761658,0.5567545294761658
