,data_type,K,model,coserr_E,coserrA_E,Uerr
0,GMM,4,wVMF,0.42673851945732083,1.2986291835894437,0.0403
0,GMM,4,true,0.4245279976584192,1.29423867941798,0.0329
0,GMM,4,GMM,0.48075434207370726,1.3574374085934475,0.045799999999999993
0,GMM,4,GME,0.5560804260607114,1.5780769915294972,0.0503
0,GMM,4,VMF,0.4815627130255161,1.3587186934540743,0.0498
0,GMM,4,wVMF,0.4816652409593301,1.3589852677255128,0.0497
0,GMM,4,true,0.4805783195508953,1.3569352327313742,0.045399999999999996
0,GMM,4,GMM,0.556200918791908,1.4550715134576548,0.07849999999999999
0,GMM,4,GME,0.6523324493385778,1.7198503192144403,0.08419999999999998
0,GMM,4,VMF,0.5560269676762629,1.4528118850266214,0.0847
0,GMM,4,wVMF,0.556109764870869,1.4529990874899283,0.08479999999999999
0,GMM,4,true,0.5558737083196895,1.4541369988408517,0.07770000000000002
0,GMM,4,GMM,0.43280714238694484,1.3169527761771704,0.043
0,GMM,4,GME,0.48567808518714256,1.4798984264623958,0.049800000000000004
0,GMM,4,VMF,0.4346814919632286,1.3214901913715615,0.0508
0,GMM,4,wVMF,0.43473107008745354,1.321635659067482,0.051000000000000004
0,GMM,4,true,0.4325841885753629,1.316280047569537,0.0438
0,GMM,4,GMM,0.43407384969850576,1.3145922967666763,0.0615
0,GMM,4,GME,0.4805783571986935,1.4597513823811943,0.0645
0,GMM,4,VMF,0.43413839859403647,1.313957906921512,0.0653
0,GMM,4,wVMF,0.43421334080071483,1.314147343129782,0.0653
0,GMM,4,true,0.43367485668673955,1.3133215180669904,0.0606
0,GMM,4,GMM,0.40762354020504876,1.2690713304834331,0.028300000000000002
0,GMM,4,GME,0.4545262588337338,1.416203569090516,0.034600000000000006
0,GMM,4,VMF,0.40881709024396773,1.2707712659763175,0.034300000000000004
0,GMM,4,wVMF,0.4089131640169573,1.2710680227423092,0.034300000000000004
0,GMM,4,true,0.4074073231344597,1.2685086392738996,0.028200000000000003
0,GMM,4,GMM,0.47882565969040203,1.3486823991599493,0.035
0,GMM,4,GME,0.6468172322930678,1.7932205839852586,0.3322
0,GMM,4,VMF,0.48576969333602615,1.3604890847830569,0.055400000000000005
0,GMM,4,wVMF,0.48584172746552107,1.3606794905766169,0.055400000000000005
0,GMM,4,true,0.47847653824676356,1.347811895345068,0.035
0,GMM,4,GMM,0.47555106322524143,1.353289426343629,0.0512
0,GMM,4,GME,0.548796371540161,1.5707427348630316,0.0513
0,GMM,4,VMF,0.4745464634446071,1.350100188031044,0.0512
0,GMM,4,wVMF,0.47466318305341,1.3504305657129987,0.0512
0,GMM,4,true,0.47530452330297146,1.3525727302533679,0.0514
0,GMM,4,GMM,0.4449012256861439,1.304220404885704,0.0405
0,GMM,4,GME,0.5071403058463568,1.4924322205130982,0.042
0,GMM,4,VMF,0.44445616636838564,1.3016758690774428,0.04190000000000001
0,GMM,4,wVMF,0.4445290653137562,1.3018806141460442,0.04190000000000001
0,GMM,4,true,0.44476442534087013,1.3037913529347935,0.039900000000000005
0,GMM,4,GMM,0.5381580225665157,1.4498291066227604,0.0968
0,GMM,4,GME,0.6169452462802181,1.6723860214988744,0.0982
0,GMM,4,VMF,0.5370290429438185,1.4459839207673715,0.0992
0,GMM,4,wVMF,0.5371203328884476,1.4462294880798574,0.0992
0,GMM,4,true,0.5379633294637395,1.4493500795980176,0.09590000000000001
0,GMM,4,GMM,0.43986280500162867,1.2949673931197534,0.026499999999999996
0,GMM,4,GME,0.6315184286870303,1.8558999654240806,0.3550000000000001
0,GMM,4,VMF,0.4396746670333046,1.292890826445619,0.028599999999999997
0,GMM,4,wVMF,0.4397776813488331,1.2931783127838319,0.028599999999999997
0,GMM,4,true,0.43944152533381775,1.293588983671625,0.026099999999999995
0,GMM,4,GMM,0.49505836491722627,1.3708153154316467,0.045899999999999996
0,GMM,4,GME,0.6554183511490032,1.7987741587019888,0.3465
0,GMM,4,VMF,0.49937536270539723,1.3796191669285616,0.056100000000000004
0,GMM,4,wVMF,0.4995098428329319,1.380021664923282,0.056100000000000004
0,GMM,4,true,0.49444549205667787,1.368974636700216,0.045599999999999995
0,GMM,4,GMM,0.43636955825937995,1.2992240928066905,0.0455
0,GMM,4,GME,0.5585934561577149,1.664515014399333,0.3901
0,GMM,4,VMF,0.43642975867328193,1.2980601071754303,0.0486
0,GMM,4,wVMF,0.43646749109910443,1.2981862503604968,0.0486
0,GMM,4,true,0.43611676899408874,1.298518136235284,0.044899999999999995
0,GMM,4,GMM,0.4281194578187922,1.2773328755790554,0.018300000000000004
0,GMM,4,GME,0.4922119060824716,1.4676680319059077,0.0273
0,GMM,4,VMF,0.4313119455650609,1.2820765869358608,0.0273
0,GMM,4,wVMF,0.43143041716400504,1.2824237905730864,0.0273
0,GMM,4,true,0.4280105501381194,1.2770528998066686,0.0188
0,GMM,4,GMM,0.4403502568655953,1.3128632018556181,0.0376
0,GMM,4,GME,0.4996151992073245,1.483138987255904,0.0563
0,GMM,4,VMF,0.44723139719524163,1.3251930454681968,0.058199999999999995
0,GMM,4,wVMF,0.4472874696396641,1.3253296199992572,0.0583
0,GMM,4,true,0.4402835880404535,1.3125455946369795,0.0382
0,GMM,4,GMM,0.437907456361968,1.2974672041321669,0.028599999999999997
0,GMM,4,GME,0.503712389241486,1.4930882426792695,0.037200000000000004
0,GMM,4,VMF,0.44058267469260226,1.3018981336595492,0.0379
0,GMM,4,wVMF,0.44067010805605894,1.3021802437513583,0.038000000000000006
0,GMM,4,true,0.4375078559719367,1.2961620705146661,0.027700000000000002
0,GMM,4,GMM,0.47838274283665233,1.363649977530875,0.0477
0,GMM,4,GME,0.5549782918147068,1.5888096103819458,0.0485
0,GMM,4,VMF,0.4781411118884374,1.3616708465619207,0.0493
0,GMM,4,wVMF,0.47825410332250906,1.3620137331797082,0.0493
0,GMM,4,true,0.47797006038233825,1.3623433166245253,0.047599999999999996
0,GMM,4,GMM,0.5180161078902363,1.4080525165226212,0.06920000000000001
0,GMM,4,GME,0.5982593320080809,1.6322716369146069,0.0857
0,GMM,4,VMF,0.5214025064357043,1.4147249632660723,0.0874
0,GMM,4,wVMF,0.5215022258363062,1.4149551268901288,0.0873
0,GMM,4,true,0.5178270523058373,1.4076436958238512,0.0694
0,GMM,4,GMM,0.4355559052968391,1.3034582640442116,0.0301
0,GMM,4,GME,0.4969862928981879,1.4949818679334466,0.0311
0,GMM,4,VMF,0.43499368164237734,1.3010627505524763,0.0315
0,GMM,4,wVMF,0.4350830464398311,1.3013597691180836,0.0315
0,GMM,4,true,0.4353712662831203,1.3028964752125027,0.029599999999999998
0,GMM,4,GMM,0.4586028984959391,1.3281346427089797,0.035100000000000006
0,GMM,4,GME,0.5288818117069316,1.538634752658235,0.04229999999999999
0,GMM,4,VMF,0.45929867201901897,1.3278635596564232,0.042199999999999994
0,GMM,4,wVMF,0.4593747482316718,1.3280836919781627,0.04209999999999999
0,GMM,4,true,0.4586256834004687,1.3281683363100307,0.0353
0,GME,4,GMM,0.5552536862621777,2.1095740452072627,0.47730000000000006
