,data_type,K,model,nmi,ari,coserr_E,coserrA_E,Uerr
0,GMM,5,VMF,0.3153951957738563,0.29200405039493155,0.5555103010333543,1.4742868850513822,0.13069999999999998
0,GMM,5,true,0.28457769546212575,0.258540010424352,0.5518910943046806,1.4678922318950878,0.11479999999999999
0,GMM,5,GMM,0.20399005684586466,0.16405829928302337,0.5259506297194572,1.4323650904618226,0.0688
0,GMM,5,GME,0.21458230354640478,0.17556873070449916,0.6241483717223424,1.7082723525849737,0.07390000000000001
0,GMM,5,VMF,0.2135906188535511,0.17476142607180165,0.525746514535963,1.4292978917605175,0.07350000000000001
0,GMM,5,true,0.2044261813535309,0.16444135398903467,0.5256794126411983,1.431454414917041,0.069
0,GMM,5,GMM,0.30523604320833053,0.26466701894630557,0.5736466640288482,1.507164367760487,0.1156
0,GMM,5,GME,0.4348607698789455,0.4538200440852408,0.6773739435330807,1.7796095835149586,0.26260000000000006
0,GMM,5,VMF,0.32506852832002114,0.2935258842529763,0.5731052098599905,1.5010483284338005,0.13079999999999997
0,GMM,5,true,0.30550705480707824,0.26516729711553466,0.5735709169074799,1.5071110304001019,0.11579999999999999
0,GMM,5,GMM,0.19466307430302052,0.15708791276113052,0.48230594344298605,1.3841699783533326,0.0658
0,GMM,5,GME,0.19495898535322015,0.15876272903374938,0.5632016265301493,1.627661451930057,0.0665
0,GMM,5,VMF,0.1955123351646018,0.15937461697969751,0.4811996668160027,1.3801661036395776,0.0668
0,GMM,5,true,0.19619118808566804,0.15815050679043643,0.4822067516486973,1.383831918446592,0.06620000000000001
0,GMM,5,GMM,0.10920568102835124,0.08591575681084955,0.45233136579863353,1.3278755330266356,0.035300000000000005
0,GMM,5,GME,0.3726555569121587,0.417389476612381,0.6273731847568477,1.8330071116325648,0.2853
0,GMM,5,VMF,0.1447430090050573,0.12254060839317185,0.4558880423119279,1.3340429204729531,0.0513
0,GMM,5,true,0.10679870872813155,0.08355339341587985,0.4520690273718026,1.3271883890428544,0.034300000000000004
0,GMM,5,GMM,0.20714740550736618,0.17155280775796133,0.48491719470674177,1.3911347934435825,0.07250000000000001
0,GMM,5,GME,0.23045004048556023,0.20291134298068694,0.5543337196942064,1.5954939664591472,0.0874
0,GMM,5,VMF,0.23078533646793092,0.20581259109636624,0.487345372522798,1.3933798880537798,0.08879999999999999
0,GMM,5,true,0.20578471753373623,0.17042646355716,0.48471989745210947,1.3907083028562786,0.07200000000000001
0,GMM,5,GMM,0.14002199732897375,0.11211861429723262,0.4587179734138636,1.3456117163613934,0.0469
0,GMM,5,GME,0.33939021418959775,0.4049060926384821,0.6062274069161557,1.767881540139771,0.316
0,GMM,5,VMF,0.16016526673752834,0.13351020072654785,0.4605911457859473,1.3479387018099094,0.05620000000000001
0,GMM,5,true,0.1387453075928503,0.11111054354989122,0.4584604481448806,1.3447558577105938,0.0465
0,GMM,5,GMM,0.15912316039582836,0.12803346773371033,0.4793167714323836,1.360771641753443,0.053500000000000006
0,GMM,5,GME,0.17155876195766773,0.13857259209516676,0.5649481668714108,1.6129329746574868,0.0581
0,GMM,5,VMF,0.17022626983213632,0.13716917378796026,0.47864572854822296,1.3574121988761672,0.057499999999999996
0,GMM,5,true,0.160007212509042,0.12868456200720443,0.4792315229896428,1.3605490507914806,0.0538
0,GMM,5,GMM,0.18674546353048352,0.15902279744453499,0.4769607942981386,1.3641087232976898,0.06720000000000001
0,GMM,5,GME,0.18873871607541343,0.16084018381679296,0.5582851593123086,1.6090492198027302,0.06810000000000001
0,GMM,5,VMF,0.189231034527332,0.1616026632385794,0.475801979652668,1.3597357477865684,0.0685
0,GMM,5,true,0.1860958225560037,0.15863049386249642,0.4768547420580969,1.3637981970899649,0.067
0,GMM,5,GMM,0.16399081555076625,0.13354189745968642,0.47598401794633133,1.3657970203033432,0.05550000000000001
0,GMM,5,GME,0.17632104537029175,0.14766927512916234,0.561736604933882,1.6216591068097368,0.0619
0,GMM,5,VMF,0.17883870829714751,0.1512414727116713,0.47608864686477803,1.3642584719473252,0.0635
0,GMM,5,true,0.16167177996245918,0.13090765101697252,0.47565113960089045,1.3648211513968196,0.054400000000000004
0,GMM,5,GMM,0.22014809307908684,0.18478348452210977,0.48691517468692486,1.39252504010286,0.0793
