model	rho	rep	v_recovery	parcel	kappa
MixVMF (K = 11)	0.0	7	0.9956587553024292	4	15.500511169433594
MixVMF (K = 11)	0.0	7	0.9956587553024292	5	15.500511169433594
MixVMF (K = 11)	0.0	7	0.9956587553024292	6	15.500511169433594
MixVMF (K = 11)	0.0	7	0.9956587553024292	7	15.500511169433594
MixVMF (K = 11)	0.0	7	0.9956587553024292	8	15.500511169433594
MixVMF (K = 11)	0.0	7	0.9956587553024292	9	15.500511169433594
MixVMF (K = 11)	0.0	7	0.9956587553024292	10	15.500511169433594
MixVMF (K = 11)	0.0	8	0.9957863688468933	0	15.339645385742188
MixVMF (K = 11)	0.0	8	0.9957863688468933	1	15.339645385742188
MixVMF (K = 11)	0.0	8	0.9957863688468933	2	15.339645385742188
MixVMF (K = 11)	0.0	8	0.9957863688468933	3	15.339645385742188
MixVMF (K = 11)	0.0	8	0.9957863688468933	4	15.339645385742188
MixVMF (K = 11)	0.0	8	0.9957863688468933	5	15.339645385742188
MixVMF (K = 11)	0.0	8	0.9957863688468933	6	15.339645385742188
MixVMF (K = 11)	0.0	8	0.9957863688468933	7	15.339645385742188
MixVMF (K = 11)	0.0	8	0.9957863688468933	8	15.339645385742188
MixVMF (K = 11)	0.0	8	0.9957863688468933	9	15.339645385742188
MixVMF (K = 11)	0.0	8	0.9957863688468933	10	15.339645385742188
MixVMF (K = 11)	0.0	9	0.9935547113418579	0	15.4583101272583
MixVMF (K = 11)	0.0	9	0.9935547113418579	1	15.4583101272583
MixVMF (K = 11)	0.0	9	0.9935547113418579	2	15.4583101272583
MixVMF (K = 11)	0.0	9	0.9935547113418579	3	15.4583101272583
MixVMF (K = 11)	0.0	9	0.9935547113418579	4	15.4583101272583
MixVMF (K = 11)	0.0	9	0.9935547113418579	5	15.4583101272583
MixVMF (K = 11)	0.0	9	0.9935547113418579	6	15.4583101272583
MixVMF (K = 11)	0.0	9	0.9935547113418579	7	15.4583101272583
MixVMF (K = 11)	0.0	9	0.9935547113418579	8	15.4583101272583
MixVMF (K = 11)	0.0	9	0.9935547113418579	9	15.4583101272583
MixVMF (K = 11)	0.0	9	0.9935547113418579	10	15.4583101272583
MixVMF (K = 11)	0.0	10	0.9953470230102539	0	15.253339767456055
MixVMF (K = 11)	0.0	10	0.9953470230102539	1	15.253339767456055
MixVMF (K = 11)	0.0	10	0.9953470230102539	2	15.253339767456055
MixVMF (K = 11)	0.0	10	0.9953470230102539	3	15.253339767456055
MixVMF (K = 11)	0.0	10	0.9953470230102539	4	15.253339767456055
MixVMF (K = 11)	0.0	10	0.9953470230102539	5	15.253339767456055
MixVMF (K = 11)	0.0	10	0.9953470230102539	6	15.253339767456055
MixVMF (K = 11)	0.0	10	0.9953470230102539	7	15.253339767456055
MixVMF (K = 11)	0.0	10	0.9953470230102539	8	15.253339767456055
MixVMF (K = 11)	0.0	10	0.9953470230102539	9	15.253339767456055
MixVMF (K = 11)	0.0	10	0.9953470230102539	10	15.253339767456055
MixVMF (K = 11)	0.0	11	0.9962533116340637	0	15.471303939819336
MixVMF (K = 11)	0.0	11	0.9962533116340637	1	15.471303939819336
MixVMF (K = 11)	0.0	11	0.9962533116340637	2	15.471303939819336
MixVMF (K = 11)	0.0	11	0.9962533116340637	3	15.471303939819336
MixVMF (K = 11)	0.0	11	0.9962533116340637	4	15.471303939819336
MixVMF (K = 11)	0.0	11	0.9962533116340637	5	15.471303939819336
MixVMF (K = 11)	0.0	11	0.9962533116340637	6	15.471303939819336
MixVMF (K = 11)	0.0	11	0.9962533116340637	7	15.471303939819336
MixVMF (K = 11)	0.0	11	0.9962533116340637	8	15.471303939819336
MixVMF (K = 11)	0.0	11	0.9962533116340637	9	15.471303939819336
MixVMF (K = 11)	0.0	11	0.9962533116340637	10	15.471303939819336
MixVMF (K = 11)	0.0	12	0.9950115084648132	0	15.394499778747559
MixVMF (K = 11)	0.0	12	0.9950115084648132	1	15.394499778747559
MixVMF (K = 11)	0.0	12	0.9950115084648132	2	15.394499778747559
MixVMF (K = 11)	0.0	12	0.9950115084648132	3	15.394499778747559
MixVMF (K = 11)	0.0	12	0.9950115084648132	4	15.394499778747559
MixVMF (K = 11)	0.0	12	0.9950115084648132	5	15.394499778747559
MixVMF (K = 11)	0.0	12	0.9950115084648132	6	15.394499778747559
MixVMF (K = 11)	0.0	12	0.9950115084648132	7	15.394499778747559
MixVMF (K = 11)	0.0	12	0.9950115084648132	8	15.394499778747559
MixVMF (K = 11)	0.0	12	0.9950115084648132	9	15.394499778747559
