,data_type,K,model,nmi,ari,coserr_E,coserrA_E
0,GMM,5,true,0.20164208466888098,0.18454527285928804,0.48699402257944147,1.4008301126538978
0,GMM,5,GMM,0.1945856993454475,0.16568521883091608,0.49250411043778475,1.3973605864130516
0,GMM,5,GME,0.3641624652001026,0.41771684661426856,0.6103064288452464,1.725186853107899
0,GMM,5,VMF,0.21241406304371754,0.1854531312299414,0.4936629033225312,1.3971155410968894
0,GMM,5,true,0.19140387369567188,0.16221713231785478,0.4919103444302816,1.3961233662723025
0,GMM,5,GMM,0.24262613976740033,0.35777083984151137,0.4247786585327971,1.3424951747494307
0,GMM,5,GME,0.14355095488749015,0.13563936631289114,0.4352833183330429,1.3892754725679954
0,GMM,5,VMF,0.2847499183975046,0.37804155616943697,0.4318308215815914,1.3607084088463042
0,GMM,5,true,0.09662254713890471,0.08364714201060486,0.3908911335851097,1.256762821441401
0,GMM,5,GMM,0.24077390992498643,0.2119385131966356,0.5228396762046722,1.4311223021544155
0,GMM,5,GME,0.24423904770208402,0.21588339155888375,0.6083897137047273,1.678738589282303
0,GMM,5,VMF,0.2391158305843594,0.21208710528543612,0.5218347083907487,1.4267574083583192
0,GMM,5,true,0.24223542230903988,0.2127565227590101,0.5230770310253816,1.43147203516329
0,GMM,5,GMM,0.21229223441125397,0.17766516993674508,0.49927876998847676,1.403317024182314
0,GMM,5,GME,0.4306317994271507,0.48344904045502696,0.6358455728317831,1.7840844473531567
0,GMM,5,VMF,0.22490958813541145,0.19696990756651292,0.4993645395966347,1.401050551874697
0,GMM,5,true,0.2128180470940552,0.1790088393666079,0.49848171868534363,1.4008659351300687
0,GME,5,GMM,0.6737604786826236,0.9378349521649844,0.6311361018802439,7.170544508154901
0,GME,5,GME,0.3260758199532571,0.2873049084857834,0.4605458129235789,3.707019740555821
0,GME,5,VMF,0.3260336459461508,0.28724881523396206,0.4199594467671659,2.9000793874476547
0,GME,5,true,0.3258839470127175,0.28686184938140113,0.46031666041726377,3.702447294978415
0,GME,5,GMM,0.6506087315015245,0.9200885956958954,0.6289216986029593,6.836199923177013
0,GME,5,GME,0.34226876290774544,0.3015370147513917,0.46808774076606025,3.849070395603782
0,GME,5,VMF,0.34275844349099516,0.30226290833620306,0.4298284539157747,3.1467542969840854
0,GME,5,true,0.3441988733893241,0.30361591381343256,0.4679057437004227,3.84382721340496
0,GME,5,GMM,0.6369883686374128,0.9185446421768818,0.5976743154138059,6.623192694202352
0,GME,5,GME,0.3236711345688582,0.28242849835854517,0.4502703665386606,3.607321086494161
0,GME,5,VMF,0.3252731316757502,0.28344176961076173,0.41592214238445624,2.9741078476966583
0,GME,5,true,0.32459758189534094,0.28329873971631114,0.45019204742119856,3.604331861074545
0,GME,5,GMM,0.6392264515934208,0.9223675243128252,0.5797300207949483,6.180151018903841
0,GME,5,GME,0.46216835044155297,0.4954588432773904,0.5408638913042855,5.36126361144014
0,GME,5,VMF,0.34105505409810044,0.2987782449181145,0.4179516072967401,2.863441692594771
0,GME,5,true,0.34215688528226723,0.299753820429903,0.4499221173324671,3.495204216036221
0,GME,5,GMM,0.661034551539462,0.9309786048255264,0.5950616184251066,6.074375476574131
0,GME,5,GME,0.3425894472694176,0.3048011621558676,0.46139278945213863,3.4879632708039447
0,GME,5,VMF,0.3457962078927673,0.30763604151517976,0.42316050142563544,2.795353055358018
0,GME,5,true,0.34384327489170957,0.30596956002356085,0.46073506726746793,3.4759475601221124
0,GME,5,GMM,0.6811190735789406,0.9435389618693166,0.5287169222164972,5.0489497880286525
0,GME,5,GME,0.483298750515923,0.5155868210664879,0.49080129084197344,4.316588596442968
0,GME,5,VMF,0.3819753406228865,0.34272749328084434,0.41691462535497276,2.90646634887309
0,GME,5,true,0.37920002198199354,0.3407059552867967,0.4371302337117282,3.2638767368808543
0,GME,5,GMM,0.6549780934953315,0.9249374294990622,0.5966951669697952,6.262609750602463
0,GME,5,GME,0.35558627661667713,0.315590731513662,0.4590362554267198,3.5452035374252038
0,GME,5,VMF,0.35555161883574,0.31515139962980077,0.42792270733910426,2.877360724970012
0,GME,5,true,0.3535202515911385,0.3135059778489863,0.4591032637372272,3.546049979640206
0,GME,5,GMM,0.6667546023817932,0.9337944164212935,0.5944972222229898,6.474505967837585
0,GME,5,GME,0.3400073074028803,0.3000792450810258,0.45390599795157843,3.601162715596835
0,GME,5,VMF,0.3406791999583512,0.3004064166673537,0.4220699594671084,2.8530308103342548
0,GME,5,true,0.33970177444526767,0.2995615871998762,0.45358643790498165,3.5921609202657216
0,GME,5,GMM,0.6495356074413885,0.9223795325257846,0.6120309133409749,6.71361014827627
0,GME,5,GME,0.4293256221783938,0.4709151613752628,0.5292561278076999,5.076749542657725
0,GME,5,VMF,0.462319825573306,0.49622886609713673,0.4967248932528815,4.568624705779609
0,GME,5,true,0.3380175298177784,0.2968302829903416,0.4605035556617826,3.8206855681993983
0,GME,5,GMM,0.6525251173843245,0.9239562797794167,0.6068031888486491,7.086672791440513
0,GME,5,GME,0.3556087379575884,0.31668246947920503,0.4533404431424022,4.056439310739046
0,GME,5,VMF,0.3535282993557264,0.3151748782980461,0.417597564342371,3.330209264220093
0,GME,5,true,0.3567121023103076,0.31780553714619997,0.45343842234242093,4.058616935920627
0,VMF,5,GMM,0.672976092286732,0.889458378131096,0.6429841736401649,7.9901022249369476
0,VMF,5,GME,0.11807547980747608,0.09442214140558622,0.6908040726662064,8.575739946857368
0,VMF,5,VMF,0.11613722932553101,0.09275048880501847,0.4335513919771913,5.38957605391099
0,VMF,5,true,0.11387603785148075,0.09115239161856747,0.4335387988405614,5.393449767142252
0,VMF,5,GMM,0.694945274864724,0.8453227559551687,0.6875878408918105,9.0453042147753
0,VMF,5,GME,0.10864410012044953,0.08936307480913078,0.7059055111186304,9.329356333016653
0,VMF,5,VMF,0.10202234953090253,0.0836776664937744,0.4280162091229825,5.694675931736949
0,VMF,5,true,0.1015270273011231,0.08352970714205135,0.4276161980922003,5.689053056258688
0,VMF,5,GMM,0.6574969005833926,0.8535636782024214,0.7060320840097722,8.477678180843524
0,VMF,5,GME,0.09295564002888923,0.07452988187116352,0.7299361806055533,8.726695909795717
0,VMF,5,VMF,0.09009624685901174,0.07157429966802643,0.4267144704201688,5.2076998492309645
0,VMF,5,true,0.08907051876015999,0.07082572592804501,0.4261871658321852,5.19878730816896
